                Container                                  Repository                   Tag       Image Id       Size  
-----------------------------------------------------------------------------------------------------------------------
trainticket_redis_1                          redis                                     latest   ef47f3b6dc11   104.3 MB
trainticket_ts-account-mongo_1               mongo                                     latest   3068f6bb852e   492.8 MB
trainticket_ts-admin-basic-info-service_1    codewisdom/ts-admin-basic-info-service    0.0.4    b3f4eb1f73b9   337.4 MB
trainticket_ts-admin-order-service_1         codewisdom/ts-admin-order-service         0.0.4    a5065e34039f   337.4 MB
trainticket_ts-admin-route-service_1         codewisdom/ts-admin-route-service         0.0.4    6736a1389256   337.4 MB
trainticket_ts-admin-travel-service_1        codewisdom/ts-admin-travel-service        0.0.4    bdb10c1fbee1   337.4 MB
trainticket_ts-admin-user-service_1          codewisdom/ts-admin-user-service          0.0.4    5e70c9cd1d64   337.4 MB
trainticket_ts-assurance-mongo_1             mongo                                     latest   3068f6bb852e   492.8 MB
trainticket_ts-assurance-service_1           codewisdom/ts-assurance-service           0.0.4    9c542488b00f   340.9 MB
trainticket_ts-auth-mongo_1                  mongo                                     latest   3068f6bb852e   492.8 MB
trainticket_ts-auth-service_1                codewisdom/ts-auth-service                0.0.4    de77efd3a6c4   340.9 MB
trainticket_ts-basic-service_1               codewisdom/ts-basic-service               0.0.4    64295fe6dc1a   337.4 MB
trainticket_ts-cancel-service_1              codewisdom/ts-cancel-service              0.0.4    effc9916e643   337.4 MB
trainticket_ts-config-mongo_1                mongo                                     latest   3068f6bb852e   492.8 MB
trainticket_ts-config-service_1              codewisdom/ts-config-service              0.0.4    c6841c37fa59   340.9 MB
trainticket_ts-consign-mongo_1               mongo                                     latest   3068f6bb852e   492.8 MB
trainticket_ts-consign-price-mongo_1         mongo                                     latest   3068f6bb852e   492.8 MB
trainticket_ts-consign-price-service_1       codewisdom/ts-consign-price-service       0.0.4    cfdafba05cac   340.9 MB
trainticket_ts-consign-service_1             codewisdom/ts-consign-service             0.0.4    f4463a1066bb   340.9 MB
trainticket_ts-contacts-mongo_1              mongo                                     latest   3068f6bb852e   492.8 MB
trainticket_ts-contacts-service_1            codewisdom/ts-contacts-service            0.0.4    eabc3c3bb8dc   340.9 MB
trainticket_ts-execute-service_1             codewisdom/ts-execute-service             0.0.4    e6056732b4fb   337.4 MB
trainticket_ts-food-map-mongo_1              mongo                                     latest   3068f6bb852e   492.8 MB
