                   Name                                 Command               State                  Ports               
-------------------------------------------------------------------------------------------------------------------------
trainticket_redis_1                          docker-entrypoint.sh redis ...   Up      0.0.0.0:6379->6379/tcp             
trainticket_ts-account-mongo_1               docker-entrypoint.sh mongod      Up      27017/tcp                          
trainticket_ts-admin-basic-info-service_1    java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:18767->18767/tcp           
trainticket_ts-admin-order-service_1         java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:16112->16112/tcp           
trainticket_ts-admin-route-service_1         java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:16113->16113/tcp           
trainticket_ts-admin-travel-service_1        java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:16114->16114/tcp           
trainticket_ts-admin-user-service_1          java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:16115->16115/tcp           
trainticket_ts-assurance-mongo_1             docker-entrypoint.sh mongod      Up      27017/tcp                          
trainticket_ts-assurance-service_1           java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:18888->18888/tcp           
trainticket_ts-auth-mongo_1                  docker-entrypoint.sh mongod      Up      27017/tcp                          
trainticket_ts-auth-service_1                java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:12340->12340/tcp, 12349/tcp
trainticket_ts-basic-service_1               java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:15680->15680/tcp           
trainticket_ts-cancel-service_1              java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:18885->18885/tcp           
trainticket_ts-config-mongo_1                docker-entrypoint.sh mongod      Up      27017/tcp                          
trainticket_ts-config-service_1              java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:15679->15679/tcp           
trainticket_ts-consign-mongo_1               docker-entrypoint.sh mongod      Up      27017/tcp                          
trainticket_ts-consign-price-mongo_1         docker-entrypoint.sh mongod      Up      27017/tcp                          
trainticket_ts-consign-price-service_1       java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:16110->16110/tcp           
trainticket_ts-consign-service_1             java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:16111->16111/tcp           
trainticket_ts-contacts-mongo_1              docker-entrypoint.sh mongod      Up      27017/tcp                          
trainticket_ts-contacts-service_1            java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:12347->12347/tcp           
trainticket_ts-execute-service_1             java -Xmx200m -jar /app/ts ...   Up      0.0.0.0:12386->12386/tcp           
trainticket_ts-food-map-mongo_1              docker-entrypoint.sh mongod      Up      27017/tcp                          
