1:   java -Xmx200m -jar /app/ts-security-service-1.0.jar
0000000000400000      4K r-x-- java
0000000000600000      4K r---- java
0000000000601000      4K rw--- java
00000000017f2000    132K rw---   [ anon ]
00000000f3800000  89600K rw---   [ anon ]
00000000f8f80000  47104K -----   [ anon ]
00000000fbd80000  67072K rw---   [ anon ]
00000000fff00000   1024K -----   [ anon ]
0000000100000000   5928K rw---   [ anon ]
00000001005ca000 1042648K -----   [ anon ]
00007f0364000000    132K rw---   [ anon ]
00007f0364021000  65404K -----   [ anon ]
00007f036c000000    132K rw---   [ anon ]
00007f036c021000  65404K -----   [ anon ]
00007f0370000000    132K rw---   [ anon ]
00007f0370021000  65404K -----   [ anon ]
00007f0374000000    132K rw---   [ anon ]
00007f0374021000  65404K -----   [ anon ]
00007f0378000000    132K rw---   [ anon ]
00007f0378021000  65404K -----   [ anon ]
00007f037c000000    132K rw---   [ anon ]
00007f037c021000  65404K -----   [ anon ]
00007f0380000000    132K rw---   [ anon ]
00007f0380021000  65404K -----   [ anon ]
00007f0384000000    132K rw---   [ anon ]
00007f0384021000  65404K -----   [ anon ]
00007f0388000000    132K rw---   [ anon ]
00007f0388021000  65404K -----   [ anon ]
00007f038c000000    132K rw---   [ anon ]
00007f038c021000  65404K -----   [ anon ]
00007f0390000000    132K rw---   [ anon ]
00007f0390021000  65404K -----   [ anon ]
00007f0394000000    132K rw---   [ anon ]
00007f0394021000  65404K -----   [ anon ]
00007f0398000000    132K rw---   [ anon ]
00007f0398021000  65404K -----   [ anon ]
00007f039c000000    132K rw---   [ anon ]
00007f039c021000  65404K -----   [ anon ]
00007f03a0000000    132K rw---   [ anon ]
00007f03a0021000  65404K -----   [ anon ]
00007f03a4000000   1036K rw---   [ anon ]
00007f03a4103000  64500K -----   [ anon ]
00007f03a8000000    132K rw---   [ anon ]
00007f03a8021000  65404K -----   [ anon ]
00007f03ac000000    132K rw---   [ anon ]
00007f03ac021000  65404K -----   [ anon ]
00007f03b0000000    132K rw---   [ anon ]
00007f03b0021000  65404K -----   [ anon ]
00007f03b4000000   6476K rw---   [ anon ]
00007f03b4653000  59060K -----   [ anon ]
00007f03b8000000   2904K rw---   [ anon ]
00007f03b82d6000  62632K -----   [ anon ]
00007f03bc000000    132K rw---   [ anon ]
00007f03bc021000  65404K -----   [ anon ]
00007f03c0000000    132K rw---   [ anon ]
00007f03c0021000  65404K -----   [ anon ]
00007f03c4000000   3904K rw---   [ anon ]
00007f03c43d0000  61632K -----   [ anon ]
00007f03c8000000   2256K rw---   [ anon ]
00007f03c8234000  63280K -----   [ anon ]
