1:   java -Xmx200m -jar /app/ts-train-service-1.0.jar
0000000000400000      4K r-x-- java
0000000000600000      4K r---- java
0000000000601000      4K rw--- java
0000000000843000    132K rw---   [ anon ]
00000000f3800000  97792K rw---   [ anon ]
00000000f9780000  38912K -----   [ anon ]
00000000fbd80000  67072K rw---   [ anon ]
00000000fff00000   1024K -----   [ anon ]
0000000100000000   5808K rw---   [ anon ]
00000001005ac000 1042768K -----   [ anon ]
00007f40c0000000    132K rw---   [ anon ]
00007f40c0021000  65404K -----   [ anon ]
00007f40c8000000    132K rw---   [ anon ]
00007f40c8021000  65404K -----   [ anon ]
00007f40cc000000    132K rw---   [ anon ]
00007f40cc021000  65404K -----   [ anon ]
00007f40d0000000    132K rw---   [ anon ]
00007f40d0021000  65404K -----   [ anon ]
00007f40d4000000    132K rw---   [ anon ]
00007f40d4021000  65404K -----   [ anon ]
00007f40d8000000    132K rw---   [ anon ]
00007f40d8021000  65404K -----   [ anon ]
00007f40dc000000    132K rw---   [ anon ]
00007f40dc021000  65404K -----   [ anon ]
00007f40e0000000    132K rw---   [ anon ]
00007f40e0021000  65404K -----   [ anon ]
00007f40e4000000    132K rw---   [ anon ]
00007f40e4021000  65404K -----   [ anon ]
00007f40e8000000    132K rw---   [ anon ]
00007f40e8021000  65404K -----   [ anon ]
00007f40ec000000    132K rw---   [ anon ]
00007f40ec021000  65404K -----   [ anon ]
00007f40f0000000    132K rw---   [ anon ]
00007f40f0021000  65404K -----   [ anon ]
00007f40f4000000    132K rw---   [ anon ]
00007f40f4021000  65404K -----   [ anon ]
00007f40f8000000    132K rw---   [ anon ]
00007f40f8021000  65404K -----   [ anon ]
00007f40fc000000    132K rw---   [ anon ]
00007f40fc021000  65404K -----   [ anon ]
00007f4100000000   1036K rw---   [ anon ]
00007f4100103000  64500K -----   [ anon ]
00007f4104000000    132K rw---   [ anon ]
00007f4104021000  65404K -----   [ anon ]
00007f4108000000    132K rw---   [ anon ]
00007f4108021000  65404K -----   [ anon ]
00007f410c000000    132K rw---   [ anon ]
00007f410c021000  65404K -----   [ anon ]
00007f4110000000   6000K rw---   [ anon ]
